# #x[m], y[m], z[m], pressure[Pa], gas saturation[-], mass fraction of CO2 in liquid[-], mass fraction of H2O in vapor[-], phase mass density gas[kg/m3], phase mass density water [kg/m3], total mass CO2[kg]
# 
1.750e+02, 5.000e-01, -9.150e+02, 4.611e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.072e+02, 1.002e+03, 8.416e-02
1.750e+02, 5.000e-01, -8.850e+02, 4.595e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.096e+02, 1.002e+03, 4.631e-02
1.750e+02, 5.000e-01, -8.550e+02, 4.570e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.102e+02, 1.003e+03, 3.369e-02
1.750e+02, 5.000e-01, -8.250e+02, 4.540e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.105e+02, 1.003e+03, 3.369e-02
1.750e+02, 5.000e-01, -7.950e+02, 4.510e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.108e+02, 1.003e+03, 3.370e-02
1.750e+02, 5.000e-01, -7.650e+02, 4.480e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.110e+02, 1.003e+03, 3.370e-02
1.750e+02, 5.000e-01, -7.350e+02, 4.446e+07, 0.000e+00, 4.629e-05, 0.000e+00, 9.110e+02, 1.003e+03, 3.082e+00
1.750e+02, 5.000e-01, -7.050e+02, 4.402e+07, 0.000e+00, 7.609e-04, 0.000e+00, 9.112e+02, 1.003e+03, 5.132e+01
1.750e+02, 5.000e-01, -6.750e+02, 4.372e+07, 0.000e+00, 6.758e-06, 0.000e+00, 9.121e+02, 1.003e+03, 4.557e-01
1.750e+02, 5.000e-01, -6.450e+02, 4.343e+07, 0.000e+00, 1.022e-06, 0.000e+00, 9.130e+02, 1.004e+03, 6.890e-02
1.750e+02, 5.000e-01, -6.150e+02, 4.313e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.139e+02, 1.004e+03, 6.746e-02
1.750e+02, 5.000e-01, -5.850e+02, 4.284e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.148e+02, 1.004e+03, 6.748e-02
1.750e+02, 5.000e-01, -5.550e+02, 4.254e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.158e+02, 1.004e+03, 6.749e-02
1.750e+02, 5.000e-01, -5.250e+02, 4.225e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.168e+02, 1.004e+03, 6.751e-02
1.750e+02, 5.000e-01, -4.950e+02, 4.195e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.178e+02, 1.005e+03, 6.752e-02
1.750e+02, 5.000e-01, -4.650e+02, 4.165e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.189e+02, 1.005e+03, 8.020e-02
1.750e+02, 5.000e-01, -4.350e+02, 4.135e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.206e+02, 1.005e+03, 8.445e-02
1.750e+02, 5.000e-01, -4.050e+02, 4.106e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.226e+02, 1.006e+03, 8.448e-02
1.750e+02, 5.000e-01, -3.750e+02, 4.076e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.246e+02, 1.006e+03, 8.451e-02
1.750e+02, 5.000e-01, -3.450e+02, 4.047e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.264e+02, 1.006e+03, 6.763e-02
1.750e+02, 5.000e-01, -3.150e+02, 4.017e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.277e+02, 1.007e+03, 6.764e-02
1.750e+02, 5.000e-01, -2.850e+02, 3.987e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.292e+02, 1.007e+03, 6.766e-02
1.750e+02, 5.000e-01, -2.550e+02, 3.958e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.307e+02, 1.007e+03, 6.767e-02
1.750e+02, 5.000e-01, -2.250e+02, 3.928e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.325e+02, 1.007e+03, 6.769e-02
1.750e+02, 5.000e-01, -1.950e+02, 3.899e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.343e+02, 1.008e+03, 6.771e-02
1.750e+02, 5.000e-01, -1.650e+02, 3.869e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.364e+02, 1.008e+03, 6.773e-02
1.750e+02, 5.000e-01, -1.350e+02, 3.844e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.388e+02, 1.008e+03, 5.928e-02
1.750e+02, 5.000e-01, -1.050e+02, 3.828e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.407e+02, 1.008e+03, 3.388e-02
1.750e+02, 5.000e-01, -7.500e+01, 3.799e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.419e+02, 1.009e+03, 3.389e-02
1.750e+02, 5.000e-01, -4.500e+01, 3.769e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.432e+02, 1.009e+03, 3.390e-02
1.750e+02, 5.000e-01, -1.500e+01, 3.739e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.446e+02, 1.009e+03, 3.390e-02
2.450e+02, 5.000e-01, -1.185e+03, 4.600e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.873e+02, 9.982e+02, 3.354e-08
2.450e+02, 5.000e-01, -1.155e+03, 4.623e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.893e+02, 9.985e+02, 3.355e-08
2.450e+02, 5.000e-01, -1.125e+03, 4.688e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.931e+02, 9.990e+02, 3.357e-08
2.450e+02, 5.000e-01, -1.095e+03, 4.769e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.977e+02, 9.995e+02, 2.099e-02
2.450e+02, 5.000e-01, -1.065e+03, 4.758e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.993e+02, 9.999e+02, 8.399e-02
2.450e+02, 5.000e-01, -1.035e+03, 4.728e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.004e+02, 1.000e+03, 8.402e-02
2.450e+02, 5.000e-01, -1.005e+03, 4.699e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.018e+02, 1.001e+03, 8.405e-02
2.450e+02, 5.000e-01, -9.750e+02, 4.669e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.033e+02, 1.001e+03, 8.408e-02
2.450e+02, 5.000e-01, -9.450e+02, 4.640e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.051e+02, 1.001e+03, 8.412e-02
2.450e+02, 5.000e-01, -9.150e+02, 4.611e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.071e+02, 1.002e+03, 8.416e-02
2.450e+02, 5.000e-01, -8.850e+02, 4.581e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.090e+02, 1.002e+03, 8.419e-02
2.450e+02, 5.000e-01, -8.550e+02, 4.570e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.105e+02, 1.003e+03, 3.369e-02
2.450e+02, 5.000e-01, -8.250e+02, 4.540e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.107e+02, 1.003e+03, 3.369e-02
